UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Alberto Fernández Retweeted,@marianagras,2021-09-11T20:28:19.000Z,"Mariana Gras
@marianagras
·
Sep 11Acompañamos en su reunión con el presidente 
@alferdez
 en la Quinta de Olivos a Winfried, estudiante y activista no binarie de 24 años que sufrió un brutal ataque a golpes en la ciudad de La Plata por su identidad de género.

Le acercamos todo nuestro apoyo a 
@winfried_fallon
  Victoria Donda Perez and 4 others
143
135
662",143,135,662
Alberto Fernández Retweeted,@CasaRosada,2021-09-11T20:59:45.000Z,"Casa Rosada
@CasaRosada
·
Sep 11En memoria de las víctimas del terrorismo.

Nunca olvidaremos, 11.09.2001
246
601
1.8K",246,601,1.8K
Alberto Fernández,@alferdez,2021-09-11T14:59:03.000Z,"Alberto Fernández
@alferdez
·
Sep 11“No se detienen los procesos sociales ni con el crimen ni con la fuerza. La historia es nuestra y la hacen los pueblos.”

Últimas palabras de Salvador Allende, 48 años atrás, cuando un golpe de Estado atentó contra la democracia y terminó con su vida. El pueblo chileno recuerda.
1.1K
3.9K
15.4K",1.1K,3.9K,15.4K
Alberto Fernández,@alferdez,2021-09-11T13:12:13.000Z,"Alberto Fernández
@alferdez
·
Sep 11En este tiempo, quienes tienen la vocación de enseñar son un ejemplo de superación. Han sido capaces, ante toda adversidad, de seguir sembrando conocimiento.

#GraciasMaestrasyMaestros por dejar una huella imborrable en cada chica y cada chico que pasa por las aulas. ¡Feliz día!
562
694
2.9K",562,694,2.9K
Alberto Fernández Retweeted,@AgenciaElVigia,2021-09-10T17:37:29.000Z,"Agencia El Vigía
@AgenciaElVigia
·
Sep 10El presidente 
@alferdez
 se solidarizó con Winfried Fallon Noriega, estudiante de Comunicación Social en UNLP y joven no binario que denunció a personas por un acto de discriminación con golpes e insultos por su elección sexual y situación de salud, ya que padece Asperger.
74
289
880",74,289,880
Alberto Fernández Retweeted,@DrDanielGollan,2021-09-09T23:50:44.000Z,"Daniel Gollan
@DrDanielGollan
·
Sep 9Con alegría y emoción, cerramos la primera parte de la campaña en la 
@BAProvincia
 y el país. Ayer desde #MardelPlata, #Junín y #BahíaBlanca; y hoy desde #VicenteLópez, junto a precandidatxs del 
@FrenteDeTodos
.
Axel Kicillof and 4 others
57
187
872",57,187,872
Alberto Fernández Retweeted,@SantiagoCafiero,2021-09-09T23:43:59.000Z,"Santiago Cafiero
@SantiagoCafiero
·
Sep 9El domingo votamos para definir a qué país salimos el día después de la pandemia. Nosotros podemos mostrar qué hicimos. El macrismo cuando gobernó no hizo nada de lo que prometió y destruyó la economía.

Acá hay un modelo con prioridades claras: producir y crear trabajo.
Alberto Fernández
@alferdez
 · Sep 9
Entre que asumimos y llegó la pandemia, pasaron solo 99 días. 99 días de orden sanitario hasta que debimos ponerle el pecho a una nueva realidad causante de profundo dolor.

Hoy, gracias a un enorme esfuerzo, el día 100 está cerca, pero cuando llegue, ¿qué país vamos a construir?
Show this thread
555
288
1K",555,288,1K
Alberto Fernández Retweeted,@C5N,2021-09-10T00:12:02.000Z,"C5N
@C5N
·
Sep 9 @alferdez
: ""Fuimos a levantar un sistema de salud que había desaparecido; no era que había desaparecido un ministerio, había desaparecido un sistema""

 Análisis de 
@Gatosylvestre
 en Minuto Uno.

#MemoriaActiva
92
122
420",92,122,420
Alberto Fernández,@alferdez,2021-09-09T23:33:18.000Z,"Alberto Fernández
@alferdez
·
Sep 9Entre que asumimos y llegó la pandemia, pasaron solo 99 días. 99 días de orden sanitario hasta que debimos ponerle el pecho a una nueva realidad causante de profundo dolor.

Hoy, gracias a un enorme esfuerzo, el día 100 está cerca, pero cuando llegue, ¿qué país vamos a construir?
685
845
3.5K",685,845,3.5K
Alberto Fernández,@alferdez,2021-09-09T23:33:21.000Z,"Alberto Fernández
@alferdez
·
Sep 9Nos proponen un país de precarización laboral donde las universidades sobran y cada uno se salva como puede.
 
Tenemos la oportunidad de construir un tiempo más solidario. Cuando el día 100 llegue y recuperemos la alegría, estemos juntos por #LaVidaQueQueremos 
128
288
1K",128,288,1K
Alberto Fernández Retweeted,@bordet,2021-09-09T21:05:42.000Z,"Gustavo Bordet
@bordet
·
Sep 9Estuve hoy con 
@alferdez
 y 
@CFKArgentina
 en el cierre de campaña nacional del 
@FrenteDeTodos
. Desde nuestro espacio queremos lograr definitivamente una #Argentina con igualdad y justicia, que no vuelva a repetir los errores del pasado.
1
107
347",1,107,347
Alberto Fernández Retweeted,@alferdezprensa,2021-09-09T21:47:11.000Z,"Alberto Fernández Prensa
@alferdezprensa
·
Sep 9""Vengo diciendo que soy un porteño, pero soy el más federal de todos. De muy chico conocí las asimetrías entre el norte y la Ciudad de Buenos Aires y así gobernamos este tiempo"". El presidente 
@alferdez
 en el acto de cierre de campaña del 
@frentedetodos
 en Tecnópolis.
77
159
484",77,159,484
Alberto Fernández Retweeted,@alferdezprensa,2021-09-08T21:11:37.000Z,"Alberto Fernández Prensa
@alferdezprensa
·
Sep 8”Sabemos que los planes fueron una solución de emergencia pero el problema se resuelve con creación de trabajo porque es lo que le da dignidad al ser humano, no hay otra manera”. El presidente 
@alferdez
 en el cierre de campaña del 
@frentedetodos
 de la provincia de Buenos Aires.
124
219
585",124,219,585
Alberto Fernández Retweeted,@alferdezprensa,2021-09-08T21:21:09.000Z,"Alberto Fernández Prensa
@alferdezprensa
·
Sep 8""La oposición no creía en la salud y así dejaron al sistema sanitario. Ahora lo escucho decir al ex ministro de salud, devenido en secretario, que la sanidad no era prioridad"". El presidente 
@alferdez
 en el cierre de campaña del 
@frentedetodos
 de la provincia de Buenos Aires.
52
134
389",52,134,389
Alberto Fernández Retweeted,@alferdezprensa,2021-09-08T21:33:22.000Z,"Alberto Fernández Prensa
@alferdezprensa
·
Sep 8 ""Estoy orgulloso de salvar el trabajo de los argentinos y miles de PyMES con el ATP, luego de los años anteriores donde la importación se abrió y cerraron 23.000 industrias"". El presidente 
@alferdez
 en el cierre de campaña del 
@frentedetodos
 de la provincia de Buenos Aires.
2:06
11K views
78
204
638",78,204,638
Alberto Fernández Retweeted,@alferdezprensa,2021-09-08T21:42:45.000Z,"Alberto Fernández Prensa
@alferdezprensa
·
Sep 8""No fue un dilema entre la salud o la economía. Para nosotros no hay nada más importante que la vida y fuimos cuidando las fuentes del trabajo en los momentos adversos"". El presidente 
@alferdez
 en el cierre de campaña del 
@frentedetodos
 de la provincia de Buenos Aires.
70
168
468",70,168,468
Alberto Fernández Retweeted,@alferdezprensa,2021-09-08T21:58:34.000Z,"Alberto Fernández Prensa
@alferdezprensa
·
Sep 8""La mejor política económica que tuvimos fue la vacuna porque despejamos el miedo al contagio, recuperamos la habitualidad, y los trabajadores activaron la producción nacional"". El presidente 
@alferdez
 en el cierre de campaña del 
@frentedetodos
 de la provincia de Buenos Aires.
75
129
433",75,129,433
Alberto Fernández Retweeted,@alferdezprensa,2021-09-08T21:47:03.000Z,"Alberto Fernández Prensa
@alferdezprensa
·
Sep 8""Recreamos el Ministerio de Ciencia y Tecnología y volvimos a poner en el lugar que les correspondía a los científicos. En este tiempo han hecho cosas impresionantes"". El presidente 
@alferdez
 en el cierre de campaña del 
@frentedetodos
 de la provincia de Buenos Aires.
23
149
458",23,149,458
Alberto Fernández Retweeted,@alferdezprensa,2021-09-08T21:57:21.000Z,"Alberto Fernández Prensa
@alferdezprensa
·
Sep 8 ""En medio del dolor recuperamos la salud, cuidamos el trabajo, la pequeña y mediana empresa y la agricultura para que la Argentina siga hasta que llegaran las vacunas"". El presidente 
@alferdez
 en el cierre de campaña del 
@frentedetodos
 de la provincia de Buenos Aires.
61
128
407",61,128,407
Alberto Fernández Retweeted,@Kicillofok,2021-09-07T22:30:00.000Z,"Axel Kicillof
@Kicillofok
·
Sep 7Cuando todo esto pase, vamos a recordar esta época con tristeza pero con el orgullo de haber trabajado sin descanso para cuidarnos. 

Comienza una nueva etapa, es tiempo de reconstruir y renacer como pueblo.

#LaVidaQueQueremos
223
1.1K
3.1K",223,1.1K,3.1K
Alberto Fernández Retweeted,@SantoroLeandro,2021-09-08T00:15:12.000Z,"Leandro Santoro
@SantoroLeandro
·
Sep 7Hoy en el programa de Antonio Laje afirme una cosa increible -y triste y lamentablemente- no me equivoqué!!
289
2.1K
7.4K",289,2.1K,7.4K
Alberto Fernández,@alferdez,2021-09-07T19:56:29.000Z,"Alberto Fernández
@alferdez
·
Sep 7En Chivilcoy visité 
@bicontinentar
, una empresa de zapatillas que cerró en 2018 por la apertura indiscriminada de las importaciones de la gestión anterior.
 
Este año reabrió con capacidad para producir 10 millones de pares al año e incorporó a 100 trabajadoras y trabajadores.
424
771
2.7K",424,771,2.7K
Alberto Fernández,@alferdez,2021-09-07T19:56:32.000Z,"Alberto Fernández
@alferdez
·
Sep 7Hoy esta fábrica, empleadora de muchas mujeres, piensa producir para empresas de escala global como 
@PenaltyArg
.
 
Estamos saliendo de la Argentina de planes que nos dejaron hacia un país con empresarios que invierten y con trabajadores que se desarrollan donde nacieron.
Coty Alonso and 3 others
128
209
668",128,209,668
Alberto Fernández Retweeted,@alferdezprensa,2021-09-07T18:00:12.000Z,"Alberto Fernández Prensa
@alferdezprensa
·
Sep 7  ""Tenemos que pasar de una Argentina que daba planes a una que dé trabajo. Eso es lo que más dignifica a una persona y le permite desarrollarse"". El presidente 
@alferdez
 en su visita a 
@bicontinentar
 en Chivilcoy.
377
411
1.2K",377,411,1.2K
Alberto Fernández Retweeted,@CasaRosada,2021-09-07T16:55:58.000Z,"Casa Rosada
@CasaRosada
·
Sep 7CHIVILCOY – El presidente Alberto Fernández recorre una empresa de calzado deportivo que vuelve a producir en el país
Casa Rosada
@CasaRosada
El presidente Alberto Fernández recorre una empresa de calzado deportivo que vuelve a producir en el país
83
470
1.1K",83,470,1.1K
Alberto Fernández Retweeted,@SantoroLeandro,2021-09-06T13:53:04.000Z,"Leandro Santoro
@SantoroLeandro
·
Sep 6¿Hay alguien q bendiga esta hermosa comunión de los que pensamos parecido?
Somos los menos, nunca fuimos los primeros.
No matamos ni morimos por ganar.
Más bien estamos vivos por andar.

Gracias León, te amo y siempre te amaré.
816
3.1K
13.9K",816,3.1K,13.9K
Alberto Fernández Retweeted,@eldestape_radio,2021-09-06T12:19:45.000Z,"El Destape Radio
@eldestape_radio
·
Sep 6ENTREVISTA EXCLUSIVA

Quédense ahí que a las 10am entrevistamos al Presidente 
@alferdez
 en el pase entre #HabraConsecuencias y #Navarro2023

1125809360
FM107.3 AM1050
http://eldestaperadio.com
118
188
436",118,188,436
Alberto Fernández Retweeted,@SantoroLeandro,2021-09-06T01:02:00.000Z,"Leandro Santoro
@SantoroLeandro
·
Sep 5Respuesta a la ""intervención artística"" de Alfredo Casero sobre nuestros afiches.
0:36
185.5K views
430
1.6K
7.5K",430,1.6K,7.5K
Alberto Fernández Retweeted,@hernanletcher,2021-09-06T00:13:07.000Z,"Hernán Letcher
@hernanletcher
·
Sep 5El precio de la carne vacuna se redujo por 2° mes consecutivo: -1,4% en agosto. Es evidente que las medidas impulsadas tuvieron efecto sobre el precio de la carne en Hacienda y mostrador. Desde su implementación:-6% Hacienda y -2,3% mostrador. Informe CEPA https://centrocepa.com.ar/informes/300-monitor-de-precios-de-carnes-analisis-de-su-evolucion-en-agosto-2021…
599
629
1.2K",599,629,1.2K
Alberto Fernández,@alferdez,2021-09-06T11:25:34.000Z,"Alberto Fernández
@alferdez
·
Sep 6Los precios de la carne bajaron desde el momento en que restringimos las exportaciones.
No es justo que el precio internacional de la carne vacuna sea el mismo precio que deban pagar nuestros compatriotas.
Cuidar la mesa de los argentinos. Ese es nuestro compromiso.

#NoEsLoMismo
Hernán Letcher
@hernanletcher
 · Sep 5
El precio de la carne vacuna se redujo por 2° mes consecutivo: -1,4% en agosto. Es evidente que las medidas impulsadas tuvieron efecto sobre el precio de la carne en Hacienda y mostrador. Desde su implementación:-6% Hacienda y -2,3% mostrador. Informe CEPA https://centrocepa.com.ar/informes/300-monitor-de-precios-de-carnes-analisis-de-su-evolucion-en-agosto-2021…
2.7K
1.9K
4.5K",2.7K,1.9K,4.5K
Alberto Fernández Retweeted,@ctroCEPA,2021-09-06T00:27:13.000Z,"Centro CEPA
@ctroCEPA
·
Sep 5El precio de la carne vacuna se redujo por segundo mes consecutivo (-1,4% en agosto). Las medidas impulsadas por el Gobierno tuvieron efecto sobre el precio de la carne, tanto en Hacienda (-6%) como en mostrador (-2,3%).
centrocepa.com.ar
Monitor de precios de carnes: análisis de su evolución en agosto 2021
Considerando la relevancia que cobra la variación de los precios de los alimentos al interior de la canasta de consumo, este informe tiene el propósito de analizar la evolución
41
162
325",41,162,325
Alberto Fernández Retweeted,@CasaRosada,2021-09-04T21:20:41.000Z,"Casa Rosada
@CasaRosada
·
Sep 4EN VIVO | Llegada de un vuelo con 1.736.000 dosis de la vacuna Sinopharm
Casa Rosada
@CasaRosada
Llegada de un vuelo con 1.736.000 dosis de la vacuna Sinopharm
91
572
1.7K",91,572,1.7K
Alberto Fernández Retweeted,@carogonzalez_lp,2021-09-05T18:41:15.000Z,"Caro Gonzalez
@carogonzalez_lp
·
Sep 5En #ParqueAlberti acompañando la mateada junto a 
@LuisFedeArias
 y lxs candidatxs 
@granillojm
 @CintiaMansilla_
 @mclc_provincia
 de la #Lista2  En #LaPlata esta es la boleta para #LaVidaQueQueremos 
@FrenteDeTodos
 @vtolosapaz
 @DrDanielGollan
 @ArielArchanco
Alberto Fernández and 9 others
21
63
174",21,63,174
Alberto Fernández Retweeted,@GuilleMerediz,2021-09-05T15:16:36.000Z,"Guillermo Merediz
@GuilleMerediz
·
Sep 5Creemos en el trabajo y la producción. Cuidamos y acompañamos el crecimiento de las PyMes argentinas.

#NoEsLoMismo #ElDía100
Alberto Fernández
43
89
268",43,89,268
Alberto Fernández Retweeted,@wadodecorrido,2021-09-05T17:08:07.000Z,"Wado de Pedro
@wadodecorrido
·
Sep 5“De aquí en adelante solo nos queda trabajar sin descanso, en unidad, impulsando el desarrollo federal siempre postergado. Solo de ese modo lograremos la igualdad social tantas veces pregonada y tan pocas veces alcanzada”.

La columna de 
@alferdez
.
infobae.com
El día 100
Hoy quiero con estas líneas renovar mi compromiso con la Argentina que cuida, que incluye, que crece. Quiero reflexionar en conjunto sobre lo que nos pasa buscando darle certidumbre a la necesidad de...
96
231
805",96,231,805
Alberto Fernández Retweeted,@vtolosapaz,2021-09-05T13:58:12.000Z,"Victoria Tolosa Paz
@vtolosapaz
·
Sep 5""No es lo mismo que las tarifas de los servicios públicos sean accesibles para quienes los requieran o que las tarifas sean dispuestas en función de las utilidades pretendidas por quienes explotan esos servicios.""
#NoEsLoMismo
69
170
399",69,170,399
Alberto Fernández Retweeted,@vtolosapaz,2021-09-05T13:54:34.000Z,"Victoria Tolosa Paz
@vtolosapaz
·
Sep 5""No es lo mismo que los jubilados paguen o no los medicamentos que necesitan para vivir.""
#NoEsLoMismo
87
167
420",87,167,420
Alberto Fernández Retweeted,@vtolosapaz,2021-09-05T13:53:50.000Z,"Victoria Tolosa Paz
@vtolosapaz
·
Sep 5""No es lo mismo lograr que la industria crezca, incluso en pandemia, que la destrucción industrial que hemos vivido entre 2016 y 2019.""
#NoEsLoMismo
41
129
320",41,129,320
Alberto Fernández Retweeted,@p_justicialista,2021-09-05T14:55:14.000Z,"Partido Justicialista
@p_justicialista
·
Sep 5En estas elecciones optaremos por seguir transitando el camino de la recuperación para no volver al pasado de la especulación financiera y la deuda. Como dice el Presidente 
@alferdez
, “#ElDia100 de la normalidad está llegando”. 

#NoEsLoMismo 
infobae.com
El día 100
Hoy quiero con estas líneas renovar mi compromiso con la Argentina que cuida, que incluye, que crece. Quiero reflexionar en conjunto sobre lo que nos pasa buscando darle certidumbre a la necesidad de...
77
256
630",77,256,630
Alberto Fernández Retweeted,@luisbremer,2021-09-02T11:41:40.000Z,"Luis Bremer
@luisbremer
·
Sep 2""Argentina está transitando un proceso de recuperación productiva. Son 658.712 créditos otorgados contra 4.000 dados por la gestión anterior en 2018y 2019"" 
@GuilleMerediz
 en #DejameQueTeCuente 
@FolkloricaFM987
37
86
228",37,86,228
Alberto Fernández Retweeted,@gkatopodis,2021-09-04T21:07:08.000Z,"Gabriel Katopodis
@gkatopodis
·
Sep 4Puerta a puerta, para que cada vecino y vecina de #SanMartín escuche que nuestro modelo es el que va a sacar adelante la Argentina con industria y empleo.

Seamos un aluvión para que el 
@FrenteDeTodos
 tenga el domingo la confianza y el respaldo a la mejor candidata: 
@vtolosapaz
.
287
631
2K",287,631,2K
Alberto Fernández,@alferdez,2021-09-04T19:04:22.000Z,"Alberto Fernández
@alferdez
·
Sep 4Hoy estuve en Hurlingham visitando el emprendimiento de Laura.

Gracias al programa Banco de Herramientas consiguió aumentar su producción y llegar a vender en góndolas de cadenas de supermercados su propia marca de mermeladas.
504
672
3K",504,672,3K
Alberto Fernández,@alferdez,2021-09-04T19:07:12.000Z,"Alberto Fernández
@alferdez
·
Sep 4Como sucedió con su emprendimiento, queremos que suceda con todas las argentinas y argentinos. 

Estamos muy cerca de lograrlo, vamos a poner de pie a la Argentina y vamos a darle trabajo a todas y todos. 
Necesito de la ayuda de ustedes para recuperar la patria que queremos.
Victoria Tolosa Paz and 2 others
182
251
936",182,251,936
